Flat(id=228363850, fullUrl=https://www.cian.ru/rent/flat/228363850/, totalArea=18.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.741961, lng=37.545492)), bargainTerms=Flat.BargainTerms(price=38000, agentFee=0))
Flat(id=228150094, fullUrl=https://www.cian.ru/rent/flat/228150094/, totalArea=37.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.888952, lng=37.639779)), bargainTerms=Flat.BargainTerms(price=38000, agentFee=99))
Flat(id=223606372, fullUrl=https://www.cian.ru/rent/flat/223606372/, totalArea=19.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.846194, lng=37.581146)), bargainTerms=Flat.BargainTerms(price=43000, agentFee=0))
Flat(id=216876221, fullUrl=https://www.cian.ru/rent/flat/216876221/, totalArea=23.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.729209, lng=37.738252)), bargainTerms=Flat.BargainTerms(price=44900, agentFee=0))
Flat(id=228613316, fullUrl=https://www.cian.ru/rent/flat/228613316/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.77916, lng=37.612686)), bargainTerms=Flat.BargainTerms(price=45000, agentFee=0))
Flat(id=228201072, fullUrl=https://www.cian.ru/rent/flat/228201072/, totalArea=21.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.820779, lng=37.651089)), bargainTerms=Flat.BargainTerms(price=45000, agentFee=50))
Flat(id=227626060, fullUrl=https://www.cian.ru/rent/flat/227626060/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.835008, lng=37.658338)), bargainTerms=Flat.BargainTerms(price=45000, agentFee=0))
Flat(id=228748333, fullUrl=https://www.cian.ru/rent/flat/228748333/, totalArea=45.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.763224, lng=37.605409)), bargainTerms=Flat.BargainTerms(price=47000, agentFee=0))
Flat(id=215472858, fullUrl=https://www.cian.ru/rent/flat/215472858/, totalArea=30.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.690897, lng=37.65894)), bargainTerms=Flat.BargainTerms(price=49000, agentFee=50))
Flat(id=228741581, fullUrl=https://www.cian.ru/rent/flat/228741581/, totalArea=27.7, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.74815, lng=37.690489)), bargainTerms=Flat.BargainTerms(price=50300, agentFee=0))
Flat(id=222698244, fullUrl=https://www.cian.ru/rent/flat/222698244/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.790787, lng=37.523204)), bargainTerms=Flat.BargainTerms(price=60000, agentFee=50))
Flat(id=224660241, fullUrl=https://www.cian.ru/rent/flat/224660241/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.804046, lng=37.590659)), bargainTerms=Flat.BargainTerms(price=60000, agentFee=0))
Flat(id=224393617, fullUrl=https://www.cian.ru/rent/flat/224393617/, totalArea=32.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.789391, lng=37.536823)), bargainTerms=Flat.BargainTerms(price=63600, agentFee=0))
Flat(id=224394343, fullUrl=https://www.cian.ru/rent/flat/224394343/, totalArea=32.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.789391, lng=37.536823)), bargainTerms=Flat.BargainTerms(price=63600, agentFee=0))
